sample_id,timestamp,accel_x,accel_y,accel_z,label
tilt_forward_50,520,0.855469,-0.046387,-0.502197,tilt forward
tilt_forward_50,540,0.873169,-0.048462,-0.513184,tilt forward
tilt_forward_50,560,0.935059,-0.036377,-0.503052,tilt forward
tilt_forward_50,580,0.936523,-0.052124,-0.546387,tilt forward
tilt_forward_50,600,0.844116,-0.075684,-0.591797,tilt forward
tilt_forward_50,620,0.846069,-0.121338,-0.474609,tilt forward
tilt_forward_50,640,0.951172,-0.124268,-0.404907,tilt forward
tilt_forward_50,660,0.872437,-0.081177,-0.416992,tilt forward
tilt_forward_50,680,0.867920,-0.114014,-0.459106,tilt forward
tilt_forward_50,700,0.874756,-0.125977,-0.423828,tilt forward
tilt_forward_50,720,0.931152,-0.116455,-0.377075,tilt forward
tilt_forward_50,740,0.922852,-0.109741,-0.419189,tilt forward
tilt_forward_50,760,0.944458,-0.097656,-0.443604,tilt forward
tilt_forward_50,780,0.846680,-0.067017,-0.421631,tilt forward
tilt_forward_50,800,0.905884,-0.084106,-0.407104,tilt forward
tilt_forward_50,820,0.927124,-0.109619,-0.406372,tilt forward
tilt_forward_50,840,0.906860,-0.108154,-0.394653,tilt forward
tilt_forward_50,860,0.927856,-0.096802,-0.417236,tilt forward
tilt_forward_50,880,0.881226,-0.083374,-0.418213,tilt forward
tilt_forward_50,900,0.865234,-0.064941,-0.413574,tilt forward
tilt_forward_50,920,0.898682,-0.084717,-0.401245,tilt forward
tilt_forward_50,940,0.915283,-0.082153,-0.410522,tilt forward
tilt_forward_50,960,0.938110,-0.079590,-0.369385,tilt forward
tilt_forward_50,980,0.913696,-0.082520,-0.371826,tilt forward
tilt_forward_51,0,-0.052979,-0.031372,0.987671,tilt forward
tilt_forward_51,20,-0.048706,-0.032837,0.989624,tilt forward
tilt_forward_51,40,-0.056152,-0.034424,0.979614,tilt forward
tilt_forward_51,60,-0.033325,-0.037231,0.986938,tilt forward
tilt_forward_51,80,-0.046021,-0.036255,0.986084,tilt forward
tilt_forward_51,100,-0.045532,-0.038574,0.988403,tilt forward
tilt_forward_51,120,-0.045898,-0.033081,0.989014,tilt forward
tilt_forward_51,140,-0.038574,-0.030273,0.989624,tilt forward
tilt_forward_51,160,-0.007935,-0.029175,1.004639,tilt forward
tilt_forward_51,180,-0.058960,-0.032471,0.986084,tilt forward
tilt_forward_51,200,-0.051880,-0.028320,0.983765,tilt forward
tilt_forward_51,220,-0.038818,-0.024170,0.991455,tilt forward
tilt_forward_51,240,-0.035522,-0.024048,0.991699,tilt forward
tilt_forward_51,260,-0.046875,-0.026123,0.999390,tilt forward
tilt_forward_51,280,-0.015869,-0.016602,0.994995,tilt forward
tilt_forward_51,300,-0.055298,-0.022583,0.985107,tilt forward
tilt_forward_51,320,-0.125122,-0.035522,1.065430,tilt forward
tilt_forward_51,340,-0.797119,-0.148437,1.292236,tilt forward
tilt_forward_51,360,-1.141846,-0.353271,0.988159,tilt forward
tilt_forward_51,380,-0.461426,-0.060791,-0.011597,tilt forward
tilt_forward_51,400,0.570679,0.324219,-0.980103,tilt forward
tilt_forward_51,420,1.337891,0.176758,0.059692,tilt forward
tilt_forward_51,440,2.208618,-0.067017,-0.451416,tilt forward
tilt_forward_51,460,1.060303,-0.399536,-0.354492,tilt forward
tilt_forward_51,480,1.102661,-0.004272,-0.533081,tilt forward
tilt_forward_51,500,1.060913,-0.075073,-0.312866,tilt forward
tilt_forward_51,520,1.148193,-0.106079,-0.195435,tilt forward
tilt_forward_51,540,0.962036,-0.163452,-0.146118,tilt forward
tilt_forward_51,560,0.939453,-0.198975,-0.200806,tilt forward
tilt_forward_51,580,0.958862,-0.121338,-0.336670,tilt forward
tilt_forward_51,600,0.956421,-0.093262,-0.364868,tilt forward
tilt_forward_51,620,1.039551,-0.110352,-0.402466,tilt forward
tilt_forward_51,640,0.999756,-0.118042,-0.367188,tilt forward
tilt_forward_51,660,0.951172,-0.118164,-0.369751,tilt forward
tilt_forward_51,680,0.886841,-0.103149,-0.281006,tilt forward
tilt_forward_51,700,0.874023,-0.104492,-0.299805,tilt forward
tilt_forward_51,720,0.973999,-0.074829,-0.368042,tilt forward
tilt_forward_51,740,0.927856,-0.115723,-0.383911,tilt forward
tilt_forward_51,760,0.903076,-0.113525,-0.382813,tilt forward
tilt_forward_51,780,0.971558,-0.103027,-0.387329,tilt forward
tilt_forward_51,800,0.971802,-0.071655,-0.369263,tilt forward
tilt_forward_51,820,0.911865,-0.087402,-0.328247,tilt forward
tilt_forward_51,840,0.942139,-0.085937,-0.350464,tilt forward
tilt_forward_51,860,0.938477,-0.087891,-0.335083,tilt forward
tilt_forward_51,880,0.960937,-0.067017,-0.332275,tilt forward
tilt_forward_51,900,0.950317,-0.070190,-0.327393,tilt forward
tilt_forward_51,920,0.880737,-0.067139,-0.337158,tilt forward
tilt_forward_51,940,0.922485,-0.075562,-0.321777,tilt forward
tilt_forward_51,960,0.933594,-0.074585,-0.351563,tilt forward
tilt_forward_51,980,0.931519,-0.065674,-0.345581,tilt forward
tilt_forward_52,0,-0.102173,-0.037964,0.981201,tilt forward
tilt_forward_52,20,-0.073486,-0.043091,0.985596,tilt forward
tilt_forward_52,40,-0.076294,-0.031372,0.983887,tilt forward
tilt_forward_52,60,-0.078125,-0.028442,0.987671,tilt forward
tilt_forward_52,80,-0.091187,-0.028931,0.979736,tilt forward
tilt_forward_52,100,-0.109863,-0.035767,0.976074,tilt forward
tilt_forward_52,120,-0.107788,-0.025635,0.968628,tilt forward
tilt_forward_52,140,-0.091309,-0.034302,0.965576,tilt forward
tilt_forward_52,160,-0.067017,-0.029175,0.996582,tilt forward
tilt_forward_52,180,-0.079346,-0.035278,0.990723,tilt forward
tilt_forward_52,200,-0.078369,-0.034180,0.988525,tilt forward
tilt_forward_52,220,-0.091309,-0.030151,0.990601,tilt forward
tilt_forward_52,240,-0.053467,-0.032104,0.976807,tilt forward
tilt_forward_52,260,-0.070801,-0.025146,0.988525,tilt forward
tilt_forward_52,280,-0.080933,-0.015259,1.006226,tilt forward
tilt_forward_52,300,-0.215332,-0.025024,1.155151,tilt forward
tilt_forward_52,320,-0.704102,0.006104,1.042847,tilt forward
tilt_forward_52,340,-0.273926,-0.101074,0.776611,tilt forward
tilt_forward_52,360,-0.161499,-0.015259,0.272827,tilt forward
tilt_forward_52,380,0.263794,0.152710,-0.759399,tilt forward
tilt_forward_52,400,1.463867,-0.082642,-0.454956,tilt forward
tilt_forward_52,420,1.488892,-0.360229,-0.202026,tilt forward
tilt_forward_52,440,1.319580,-0.174561,-0.156738,tilt forward
tilt_forward_52,460,0.938354,0.038940,-0.568115,tilt forward
tilt_forward_52,480,1.178711,0.077148,-0.430054,tilt forward
tilt_forward_52,500,1.150269,-0.041504,-0.159302,tilt forward
tilt_forward_52,520,0.887695,-0.021118,-0.322876,tilt forward
tilt_forward_52,540,0.840088,0.011597,-0.379272,tilt forward
tilt_forward_52,560,0.880127,0.024902,-0.397949,tilt forward
tilt_forward_52,580,1.022949,0.015503,-0.395142,tilt forward
tilt_forward_52,600,0.952759,-0.008057,-0.461670,tilt forward
tilt_forward_52,620,0.855835,-0.002319,-0.469849,tilt forward
tilt_forward_52,640,0.794434,-0.000244,-0.503906,tilt forward
tilt_forward_52,660,0.912720,-0.000854,-0.497803,tilt forward
tilt_forward_52,680,0.908936,-0.030884,-0.458740,tilt forward
tilt_forward_52,700,0.874146,-0.021973,-0.479492,tilt forward
tilt_forward_52,720,0.881348,-0.009888,-0.484131,tilt forward
tilt_forward_52,740,0.870605,-0.013550,-0.428345,tilt forward
tilt_forward_52,760,0.839478,-0.023437,-0.417480,tilt forward
tilt_forward_52,780,0.891235,-0.036499,-0.447754,tilt forward
tilt_forward_52,800,0.904053,-0.009644,-0.499023,tilt forward
tilt_forward_52,820,0.890137,-0.028076,-0.485596,tilt forward
tilt_forward_52,840,0.866455,-0.028198,-0.465698,tilt forward
tilt_forward_52,860,0.892578,-0.014404,-0.485474,tilt forward
